Club,Description
AI Club,"The AI Club at Fremont High School will be a club whose goal is to educate students on topics  surrounding AI. We will discuss the various types of machine learning models, including the theory behind how they actually work. We will also work to provide hands-on experience to members through weekly projects which go along with the lectures. Additionally, we will explore career opportunities in the field of AI and the education required to acquire such jobs. Given the controversial climate of AI, this club will also serve as an open environment for students to discuss such issues."
Amnesty International,"The purpose of the this high school branch of Amnesty International is about raising awareness, advocating for change, and actively working to protect and uphold human rights in our community."
Art and Animation Club,"Our club's purpose is to educate students about the art of animation and teach them different techniques to improve their craft. We will mainly focus on animating, but students are also welcome to partake in any different forms of art, whether it be 2D or 3D. The club may enter different events and contests later on in the year, but the central goal is to create a safe and inviting space for students to explore their creative side and express themselves. Our club meetings will consist of lessons, art prompts/free draw times, fun games to explore creativity, and more. "
Asian American Student Association ,"Our mission is to develop a collective understanding of Asian American history, identity and the issues the community faces today."
Astronomy Club,"The purpose of Astronomy Club is to share astronomy basics with beginners, foment a passion for the subject among those interested, and provide a space to discuss and experience astronomy for those already engaged in its study. We hope to achieve this through the following means:
- Providing presentations
- Facilitating discussions
- Inviting virtual guest speakers to share their expertise"
Badminton Club,The purpose of our club is to promote the interest for Badminton and provide opportunities for members to improve their skills.
Basketball League Club,"In this club, we will encourage students in fremont to play sports in lunch time. Improve their mental and physical health throughout the stressful semester. In the club, we will held multiple fun tournament and competitions. TO encourage more people to learn the game of basketball. While understanding how to team work, communicate to succeed. "
Bollyvasion,The purpose of this club is to bring an opportunity to those who want to dance. Our club welcomes everyone to come out and just have fun. This club includes Bollywood songs and bollywood dance moves! Anyone can join!  
Bike Club,"At FHS Bike Club, our goal is to promote and encourage people to enjoy the fun and active sport of cycling. We do this through events and activities such as seminars, workshops, group rides, project bikes, and charitable fundraisers in conjunction with other organizations. We also promote all types of biking, and support the use of more sustainable forms of transportation in our community and around the world. We serve the community by making biking more accessible and bringing it to more people in order to benefit the environment as well as empower people to be more independent and mobile in the world around us."
Breakthrough Christian Club,"Breakthrough Club is a club where students at Fremont High School can create fellowships through learning about God and his word. We will be doing weekly bible studies and fun games. We will also be bringing in pastors to teach and work with kids throughout the club. When school returns, we hope to outreach into the community and do charity work for awesome causes. Through the fellowship our club creates we hope to grow comfortable enough to be open with our problems, both academically and personally. Especially during our high school years when our stress levels are high. In these times it is even more important to have a closer relationship to God, which is what our club aims to support through our fellowship and community."
BSU (Black Student Union),"BSU was created to provide students the opportunity to learn about black history that is not taught in class and also to help the community through donating and volunteer work. After a year of being inactive, we are finally starting up again! Learning about black history gives students a time to share, bond, and work together. The students then learn “soft skills” like communicating, responsibility, teamwork, collaboration, empathy, and more. Ultimately, we hope BSU will be able to teach students about history and unify the students all at once while also improving the community! "
California Native Habitat Club,"The purpose of the California Native Habitat club is to inform and teach Fremont students about the importance of conserving California native habitat. This will be achieved by teaching students about different native plants and how to grow them, how to turn their own lawns into native gardens, and informing them of volunteering opportunities for native habitat preservation."
